"id" "mother" "father"
"1" "51" "50" "43"
"2" "52" "50" "43"
"3" "53" "50" "43"
"4" "54" "44" "31"
"5" "55" "44" "31"
"6" "56" "44" "31"
"7" "57" "38" "27"
"8" "58" "38" "27"
"9" "59" "38" "27"
"10" "60" "50" "31"
"11" "61" "50" "31"
"12" "62" "50" "31"
"13" "63" "44" "27"
"14" "64" "44" "27"
"15" "65" "44" "27"
"16" "66" "38" "43"
"17" "67" "38" "43"
"18" "68" "38" "43"
"19" "69" "50" "27"
"20" "70" "50" "27"
"21" "71" "50" "27"
"22" "72" "44" "43"
"23" "73" "44" "43"
"24" "74" "44" "43"
"25" "75" "38" "31"
"26" "76" "38" "31"
"27" "77" "38" "31"
"28" "78" "50" "43"
"29" "79" "50" "43"
"30" "80" "50" "43"
